"Gigabyte G482-Z54 (8x A100-PCIe, TensorRT)"	A100-PCIex8_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-40GB					40 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Gigabyte G482-Z54 (8x A100-PCIe, TensorRT, Triton)"	A100-PCIex8_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-40GB					40 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"Gigabyte G482-Z54 (8x A100-PCIe, MaxQ, TensorRT)"	A100-PCIex8_TRT_MaxQ	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-40GB					40 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Gigabyte G482-Z54 (8x A100-PCIe-80GB, TensorRT)"	A100-PCIe-80GBx8_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-80GB					80 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Gigabyte G482-Z54 (8x A100-PCIe-80GB, TensorRT, Triton)"	A100-PCIe-80GBx8_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A100-PCIe-80GB					80 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"Supermicro 4029GP-TRT-OTO-28 (8x A10, TensorRT)"	A10x8_TRT	NVIDIA	closed	datacenter	available	1	Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz	2	28					768 GB	4 TB	NVMe SSD			8	NVIDIA A10					16 GB	GDDR6				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Supermicro 4029GP-TRT-OTO-28 (8x A10, TensorRT, Triton)"	A10x8_TRT_Triton	NVIDIA	closed	datacenter	available	1	Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz	2	28					768 GB	4 TB	NVMe SSD			8	NVIDIA A10					16 GB	GDDR6				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"Gigabyte G482-Z54 (8x A30, TensorRT)"	A30x8_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A30					24 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Gigabyte G482-Z54 (8x A30, TensorRT, Triton)"	A30x8_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A30					24 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"Gigabyte G482-Z54 (8x A30-MIG-4x1g.6gb, TensorRT, Triton)"	A30-MIG_32x1g.6gb_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			8	NVIDIA A30 (4x1g.6gb MIG)					24 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"Gigabyte G482-Z54 (1x A30-MIG-1x1g.6gb, TensorRT, HeteroMultiUse)"	A30-MIG_1x1g.6gb_TRT_HeteroMultiUse	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					1 TB	4 TB	NVMe SSD			1	NVIDIA A30 (1x1g.6gb MIG)					24 GB	HBM2				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"NVIDIA DGX A100 (8x A100-SXM-80GB, TensorRT)"	DGX-A100_A100-SXM-80GBx8_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			8	NVIDIA A100-SXM-80GB					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"NVIDIA DGX A100 (8x A100-SXM-80GB, TensorRT, Triton)"	DGX-A100_A100-SXM-80GBx8_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			8	NVIDIA A100-SXM-80GB					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"NVIDIA DGX A100 (8x A100-SXM-80GB, MaxQ, TensorRT)"	DGX-A100_A100-SXM-80GBx8_TRT_MaxQ	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			8	NVIDIA A100-SXM-80GB					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"NVIDIA DGX A100 (8x A100-SXM-80GB-MIG-7x1g.10gb, TensorRT, Triton)"	DGX-A100_A100-SXM-80GB-MIG_56x1g.10gb_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			8	NVIDIA A100-SXM-80GB (7x1g.10gb MIG)					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"NVIDIA DGX A100 (1x A100-SXM-80GB-MIG-1x1g.10gb, TensorRT, HeteroMultiUse)"	DGX-A100_A100-SXM-80GB-MIG_1x1g.10gb_TRT_HeteroMultiUse	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	2	64					2 TB	15 TB	NVMe SSD			1	NVIDIA A100-SXM-80GB (1x1g.10gb MIG)					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"NVIDIA DGX Station A100 (4x A100-SXM-80GB, TensorRT)"	DGX-Station-A100_A100-SXM-80GBx4_TRT	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	1	64					512 GB	10 TB	NVMe SSD			4	NVIDIA A100-SXM-80GB					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"NVIDIA DGX Station A100 (4x A100-SXM-80GB, TensorRT, Triton)"	DGX-Station-A100_A100-SXM-80GBx4_TRT_Triton	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	1	64					512 GB	10 TB	NVMe SSD			4	NVIDIA A100-SXM-80GB					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0, Triton 21.07"	
"NVIDIA DGX Station A100 (4x A100-SXM-80GB, MaxQ, TensorRT)"	DGX-Station-A100_A100-SXM-80GBx4_TRT_MaxQ	NVIDIA	closed	datacenter	available	1	AMD EPYC 7742	1	64					512 GB	10 TB	NVMe SSD			4	NVIDIA A100-SXM-80GB					80 GB	HBM2e				"TensorRT 8.0.1, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.1, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Gigabyte G242-P31 (2x A100-PCIe-aarch64, TensorRT)"	A100-PCIe-aarch64x2_TRT	NVIDIA	closed	datacenter	available	1	ARM Neoverse-N1	1	80					1 TB	4 TB	NVMe SSD			2	NVIDIA A100-PCIe-40GB					40 GB	HBM2				"TensorRT 8.0.2, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.2, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Gigabyte G242-P31 (4x A100-PCIe-aarch64, TensorRT)"	A100-PCIe-aarch64x4_TRT	NVIDIA	closed	datacenter	available	1	ARM Neoverse-N1	1	80					1 TB	4 TB	NVMe SSD			4	NVIDIA A100-PCIe-40GB					40 GB	HBM2				"TensorRT 8.0.2, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.2, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
"Gigabyte G242-P31 (4x A100-PCIe-aarch64, MaxQ, TensorRT)"	A100-PCIe-aarch64x4_TRT_MaxQ	NVIDIA	closed	datacenter	available	1	ARM Neoverse-N1	1	80					1 TB	4 TB	NVMe SSD			4	NVIDIA A100-PCIe-40GB					40 GB	HBM2				"TensorRT 8.0.2, CUDA 11.3"	Ubuntu 20.04.4	"TensorRT 8.0.2, CUDA 11.3, cuDNN 8.2.1, Driver 470.42.01, DALI 0.31.0"	
